,5333
Charles Schoettlin,2215
Kremer Pigments Inc.,814
Dick Blick Art Materials,618
World Timbers,529
E. W. Forbes Collection,500
Tate Britain,304
McCrone Accessories & Components,247
Pearl Art and Craft Supply,247
H. Schweppe,233
"U.S.Customs Lab, Long Beach",175
Standard Brands,164
Daniel Smith Artist Materials,160
The Arbidar Co.,149
Harvard Art Museums,141
Sam Francis Foundation,73
B&H Photo Video,70
Jan Wouters,56
Marthe Keller,55
"CA State Poly Univ, Pomona",48
Easy Leaf Co.,48
The Italian Art Store,41
F.  Piqué---Courtauld Institute of Art,39
L.  Souza---Fed. U. Minas Gerais,38
Talas,38
Charles Trentelman,37
Adriano Ramos,36
L.A. Art Supply,36
Gamblin Aritists Colors Co.,35
F.  Piqué---Hamilton Kerr Institute,29
L. Souza---Fed. U. Minas Gerais,27
F.  Piqué---GCI,26
L. Cornelissen & Son,25
"Kremer Pigments Inc,",24
Freestyle Photo,23
"B&H Photo-Video-Pro Audio, Inc.",21
Dick Blick (J. Noble),18
Zora's Paint Store,16
Aldrich Chemical Company,16
Paintings Conservation,16
GPS Agencies Ltd,16
Standard Brands Paint Store,15
Canadian Conservation Institute,15
Dr. Hedenberg,15
Sigma Chemical Company,15
Canadian Grain Commission,14
L.   Souza---Fed. U. Minas Gerais,14
Sue Gatenby,14
"Su Bomin, Dunhuang Academy",14
"Apsaras Medicine Chain Store, Gansu Province",14
L.A. Art Store (Oil),12
Standard Brand Paints,11
"Fang-Huo Pharmacy, Monterey Park, CA",11
Amsterdam Art,10
L.  Cornelissen & Son,10
"National Gallery of Art (Washington, DC)",10
Kremer Pigmentes Inc.,9
A. Prouss---Fed. U. Minas Gerais,8
GAMA s.p. C. Budejovice ,8
S.A.M. Monowar Jahan,8
J. Noble---Dick Blick Art Materials,6
Natural Food Store,6
Los Angeles County Museum of Art,6
Grumbacher,6
Excalibur Mineral Co.,6
Harvard Art Museums; (orig. from Mr. Albert),5
Zora's ,5
"J. Negrete---National School of Conservation, Mexico",5
"Museum of Modern Art, New York",5
Robert Komarek,5
J. Vasquez Negrete,5
Nanda Wickramasinghe,5
Kremer Pigmente,5
B&H Photo VIdeo,5
"Face to Face Gallery, Beijing",5
David John Lee,4
LA State and County Arboretum,4
Harvard Art Museums; Mr. Albert,4
Ruth Norton,4
E. Ordonez,4
Clay Minerals Society - Univ. of Missouri,4
Gem-O'-Lite Plastics Corp.,4
Dow Chemical Company,4
Kremer PIgments Inc.,4
Zora's Standard Brand Paint Store,3
Irish Dairy Board,3
F.  Piqué---GCI; Feitien Hotel,3
Alba Guerrero,3
Aiko's Art Materials Import Inc.,3
LA County Arboretum,3
"U.S. National Park Service, Colorado",3
L.A. Art Store,3
"Tong Ren Tang, Beijing",3
Mrs. Gooch's Natural Foods,2
L. Souza---Fed U of Minas Gerais,2
F. Piqué---GCI,2
Binney & Smith   ,2
Durable Arts,2
Zora's,2
Ashé Artists Materials,2
"from Gilsonite, USA",2
Cornell University,2
"Cal State Poly Univ, Pomona",2
"Dorsett & Jackson, Inc.",2
Ashley's Art,2
Sunland Orchard,2
Sue Gatenby (Collected by  W.E. Roth),2
H. Lanke,2
