,3251
germany,1158
"london, england",722
u.s.a.,510
"aichstetten, germany",507
usa,312
japan,297
"cedar grove, nj, usa",273
england,254
holland,218
france,173
china,135
brazil,120
"zaandam, the netherlands",119
czech republic,111
"florence, italy",107
italy,100
made in england,93
"sparks, nevada, usa",65
"new berlin, ny, usa",65
"ripon, wi, usa",57
"paris, france",55
"são bernardo do campo, brazil",52
state/country: new jersey; county: sussex; town/area: franklin; mine/site: franklin,51
mexico,47
"la., u.s.a.",42
"pomona, california, usa",42
"milan, italy",37
"california, u.s.a.",36
india,35
canada,35
czechoslovakia,34
"st. petersburg, russia",32
u.s.,32
"tx., u.s.a.",31
"warrington, pennsylvania, usa",31
"new york, usa",30
"heidelberg, germany",29
australia,28
state/country: california; county: riverside; town/area: jurupa mtns.; mine/site: crestmore,26
"shanghai, china",25
united kingdom,25
"venice, italy",24
"apeldoorn, holland",21
"fl., u.s.a.",20
"prague, czechoslovakia",20
switzerland,20
"ws., u.s.a.",19
"st. louis, missouri, usa",19
"singapore, malaysia",19
"minas gerais, brazil",18
"zaandam, holland",18
russia,18
"bloomington, mn, usa",18
philippines,17
new zealand,17
israel,17
"tianjin, china",17
"amsterdam, holland",17
"cranbury, new jersey, usa",16
"brooklyn, ny, usa",16
"winnipeg, manitoba, canada",14
"tokyo, japan",14
"los angeles, california, usa",14
state/country: new jersey; county: sussex; town/area: ogdensburg; mine/site: sterling hill,14
state/country: brazil; county: minas gerias; town/area: n/a; mine/site: n/a,14
"pomona, california , usa",13
"gay head (near ma), usa",13
hungary,13
eu,13
state/country: california; county: kern; town/area: boron; mine/site: n/a,13
"africa, west",12
spain,12
cyprus,12
great britain,12
state/country: california; county: san benito; town/area: coalinga; mine/site: dallas gem,12
africa,11
"doncaster, england",11
"roussillon, france",11
state/country: arizona; county: cochise; town/area: bisbee; mine/site: n/a,11
"portland, oregon, usa",10
"rome, italy",10
"sienna, italy",10
"bologna, italy",10
indonesia,10
turkey,10
state/country: california; county: riverside; town/area: jurupa mts. ; mine/site: crestmore,10
"chios, greece",9
congo,9
"le mans, france",9
"new york, ny, usa",9
"ontario, new york, usa",9
"sparks, nv, usa",9
"cincinnati, oh, usa",9
"cacaxtla, mexico",9
europe,9
state/country: mexico; county: chihuahua; town/area: n/a; mine/site: n/a,9
"ny., u.s.a.",8
"kyoto, japan",8
"manilla, philippines",8
"erkrath, germany",8
"dusseldorf, germany",8
taiwan,8
state/country: california; county: san bernardino; town/area: searles lake; mine/site: n/a,8
columbia,7
"ohio, u.s.a.",7
venezuela,7
panama,7
british guiana,7
peru,7
fiji,7
"boston, usa",7
"lemans, france",7
afghanistan,7
americas,7
state/country: sweden; county: varmland; town/area: langban; mine/site: n/a,7
state/country: arizona; county: n/a; town/area: n/a; mine/site: n/a,7
state/country: colorado; county: eagle; town/area: gilman; mine/site: eagle,7
state/country: california; county: kern; town/area: boron; mine/site: boron open pit,7
state/country: russia; county: kola peninsula; town/area: khibina massif; mine/site: yukspor mt.,7
"az., u.s.a.",6
argentina,6
"yungang, china",6
sudan,6
malaysia,6
"minneapolis, minnesota, usa",6
the netherlands,6
"midland, michigan, usa",6
"middlesex, nj, usa",6
german democratic republic,6
state/country: greenland; county: frederickshaab; town/area: arsuk fjord; mine/site: ivigtuut,6
state/country: new jersey; county: sussex; town/area: franklin; mine/site: n/a,6
state/country: namibia; county: tsumeb; town/area: n/a; mine/site: n/a,6
state/country: california; county: riverside; town/area: jurupa mts.; mine/site: crestmore,6
"or., u.s.a.",5
"wa., u.s.a.",5
tasmania,5
chile,5
surinam,5
belgian congo,5
guatemala,5
nigeria,5
thailand,5
congo republic,5
belgium,5
vietnam,5
"nevada, usa",5
"belo horizonte, minas gerais, brazil",5
"liege , belgium",5
"barcelona, spain",5
"munich, germany",5
greece,5
iran,5
"torrance, california, usa",5
"buenos aires, argentina",5
"manchester, england",5
"oaxaca, mexico",5
"nugegoda, sri lanka",5
"gardena, ca, usa",5
"ny, usa",5
state/country: arizona; county: pinal; town/area: ray; mine/site: kennecott copper,5
state/country: colorado; county: ouray; town/area: ouray; mine/site: n/a,5
state/country: mexico; county: chihuahua; town/area: santa eulalia; mine/site: n/a,5
state/country: colorado; county: san juan; town/area: silverton; mine/site: sunnyside,5
state/country: peru; county: la libertad dept.; town/area: santiago de chuco province; mine/site: quiruvilca district,5
state/country: greenland; county: n/a; town/area: ilimaussaq; mine/site: kvanefjeld,5
state/country: arizona; county: la paz; town/area: n/a; mine/site: red cloud,5
state/country: michigan; county: iron; town/area: n/a; mine/site: lake ellen kimberlite,5
state/country: texas; county: brewster; town/area: terlingua; mine/site: n/a,5
state/country: california; county: san benito; town/area: n/a; mine/site: n/a,5
state/country: nevada; county: pershing; town/area: majuba hill; mine/site: n/a,5
state/country: russia; county: kola peninsula; town/area: khibina massif; mine/site: kukisvumchoor mt.,5
malaya,4
west africa,4
south america,4
paraguay,4
"hi., u.s.a.",4
"arizona, usa",4
"whittier, california, usa",4
"verona, italy",4
"mowhawk, new york, usa",4
"apeldoorn , holland",4
"maprik district, papua new guinea",4
"cyprus, greece",4
"tulum, yucatan, mexico",4
"wayne, pa, usa",4
sweden,4
"taizz, yemen",4
"provence, france",4
"ardens, france",4
"humboldt county, nv, usa",4
"ward hill, ma, usa",4
"val d'ajos, vosges, lorraine, france",4
state/country: wisconsin; county: rusk; town/area: ladysmith; mine/site: flambeau,4
state/country: michigan; county: ontonagon; town/area: n/a; mine/site: old indiana #1,4
state/country: michigan; county: keweenaw; town/area: n/a; mine/site: n/a,4
state/country: michigan; county: ontonagon; town/area: n/a; mine/site: white pine,4
state/country: peru; county: northern; town/area: n/a; mine/site: n/a,4
state/country: colorado; county: eagle; town/area: gilman; mine/site: n/a,4
state/country: mexico; county: baja california; town/area: santa rosalia; mine/site: amelia,4
state/country: arkansas; county: hot spring; town/area: magnet cove; mine/site: n/a,4
state/country: north carolina; county: cleveland; town/area: king's mtn.; mine/site: foote,4
state/country: new jersey; county: sussex; town/area: ogdensberg; mine/site: sterling hill,4
state/country: arizona; county: greenlee; town/area: morenci; mine/site: n/a,4
state/country: mexico; county: durango; town/area: mapimi; mine/site: mina ojuela,4
state/country: brazil; county: minas gerias; town/area: linopolis; mine/site: luiz i,4
state/country: new hampshire; county: strafford; town/area: center strafford; mine/site: parker mtn.,4
state/country: australia; county: new south wales; town/area: broken hill; mine/site: n/a,4
state/country: new jersey; county: sussex; town/area: franklin; mine/site: farber quarry,4
state/country: canada; county: quebec; town/area: mt. st. hilaire; mine/site: n/a,4
state/country: california; county: san diego; town/area: pala; mine/site: himalaya,4
"ar., u.s.a.",3
"la., u.s.a",3
"british columbia, canada",3
uganda,3
"nc., u.s.a.",3
costa rica,3
"wisconsin, u.s.a.",3
asia,3
"california, usa",3
"new york, new york, usa",3
"zanzibar, tanzania",3
"todi, italy",3
"easton, pa, usa",3
"cincinnati, ohio, usa",3
"easton, pennsylvania, usa",3
"carrara, italy",3
"county cork, ireland",3
"churchlane, newbury, england",3
"klatovy, czechoslovakia",3
"seattle, wa , usa",3
"benesov, czechoslovakia",3
"beroun, czechoslovakia",3
"agay, france",3
"whittier, ca, usa",3
morocco,3
"dunhuang, china",3
"chicago, il, usa",3
"boston, massachusetts, usa",3
scotland,3
"new jersey, usa",3
"lucerne, switzerland",3
"sunland, california, usa",3
northern australia,3
"bangladesh, india",3
"chihuahua, mexico",3
"bloomsbury, nj, usa",3
"los angeles, ca, usa",3
"el tajin, mexico",3
"bronx, ny, usa",3
"hopewell, va, usa",3
"warrington, pa, usa",3
"rochester, n.y.",3
soqotra,3
"krakow, poland",3
state/country: michigan; county: houghton; town/area: n/a; mine/site: osceola,3
state/country: michigan; county: ontonagon; town/area: n/a; mine/site: mass,3
state/country: california; county: nevada; town/area: grass valley; mine/site: n/a,3
state/country: utah; county: n/a; town/area: n/a; mine/site: n/a,3
state/country: michigan; county: n/a; town/area: maybee; mine/site: n/a,3
state/country: michigan; county: keweenaw; town/area: mohawk; mine/site: mohawk,3
state/country: arizona; county: pinal; town/area: superior; mine/site: n/a,3
state/country: montana; county: silver bow; town/area: butte; mine/site: n/a,3
state/country: new mexico; county: dona ana; town/area: organ mtns.; mine/site: hilltop,3
state/country: england; county: cornwall; town/area: redruth; mine/site: n/a,3
state/country: michigan; county: eaton; town/area: bellevue; mine/site: cheney quarry,3
state/country: nevada; county: humboldt; town/area: golconda; mine/site: getchell,3
state/country: peru; county: ancash department; town/area: bolognesi province; mine/site: pachapaqui district,3
state/country: mexico; county: sonora; town/area: n/a; mine/site: n/a,3
state/country: california; county: imperial; town/area: salton sea; mine/site: n/a,3
state/country: new mexico; county: luna; town/area: deming; mine/site: n/a,3
state/country: new mexico; county: socorro; town/area: socorro; mine/site: n/a,3
state/country: michigan; county: ontonagon; town/area: n/a; mine/site: indiana,3
state/country: new mexico; county: rio arriba; town/area: dixon; mine/site: harding,3
state/country: india; county: hyderabad; town/area: aurangabad; mine/site: n/a,3
state/country: nevada; county: pershing; town/area: n/a; mine/site: n/a,3
state/country: oregon; county: jefferson; town/area: madras; mine/site: richardson ranch,3
