,5282
Kremer-Pigmente,1185
Kremer Pigmente (components),777
Winsor & Newton,473
R.P. Cargille Laboratories,274
Kremer Pigmente,252
prepared by H. Schweppe,188
Daniel Smith,161
Max Grumbacher,159
Eastman Kodak Co.,158
Verfmolen 'De Kat',142
"Holbein Works, Ltd.",131
Royal Talens,115
Zecchi,109
Daler Rowney,103
L.  Cornelissen & Son,101
Max Grumbacher / Sanford,98
Old Holland,97
Dilo,93
Liquitex Artist Materials,93
A.F. Suter & Co.,92
"Conservation Materials, Ltd.",74
Schmincke,67
Clariant,66
Pebeo,64
Golden Artist Colors Inc.,64
Roberson & Company,63
H. Schmincke & Company,62
Fuji Photo Film Co.,58
Ripon Microslides Laboratory,57
Kunstler,57
High School of Central Art Institute,54
Bocour,51
Acrilex Tintas Especiais S/A,50
Ilford Imaging UK,47
"Ward's Natural Science Establishment, Inc.",44
Ciba,43
F.lli Maimeri & Company,39
Sennelier,36
"Polysciences, Inc.",36
Schmincke / Kremer,36
F. Weber Company,35
Gamblin Aritists Colors Co.,35
Gama,31
Agfa-Gevaert AG,29
Sun,29
Grumbacher,26
Sanford Corp.,25
Fezandie & Sperrle,24
A.J. Van der Linde,24
White Nights,24
Winsor and Newton,24
Serva Feinbiochemica,23
Speedball Art,22
Lefranc,20
Holbein Art & Craft,20
Union Carbide Chemicals and Plastics,20
LeFranc & Bourgeois,18
Panda Water Colour,18
Creative Products Corp.,18
August Ruhl,18
Sansui,18
Lukas,17
Bocour Artist Colors Inc.,17
Agfa Ansco ,17
Engelhard,17
GPS Agencies Ltd,16
Holbein,15
Liquitex,15
Utrecht Manufacturing Corp.,15
BASF,15
Dupont,15
Krylon,15
Lefranc & Bourgeois,14
Bergger S.A.,14
Avecia,14
Lansco,14
Shiva,13
Marie's Oil Colours,13
Kodak,13
Flying Eagle Oil Colours M512,12
Marie's Water Colour,12
Rembrandt (Talens),12
Schmincke (Oil),12
Luminos Imaging,12
Landscape,12
"Kodak Limited, London",12
Cowleys,12
Usine Mathieu,11
Lucky,11
L. Cornelissen & Son,10
"C. Roberson & Company, Ltd.",10
CARAN D'ACHE NEOCOLOR II,10
Kodak Canada Inc.,10
"Eastman Kodak Co,",10
Fabbriche Riunite Metalli,10
Canadian Kodak Co.,10
Talens,9
Eimer & Amend,9
Gambier Parry,9
Gamblin Artists' Oil Colors,9
"Scientific Polymer Products, Inc.",9
Serva Feinbiochemica ,9
Leeben Color,9
Kremer Pigmente (oil and pigment),9
Eastman Kodak,9
Fotochema,9
Ilford Imaging UK Limited,9
Agfa Gevaert AG,9
J. P. Stephenson,8
Newman,8
3M,8
Factory of Art Materials,8
La Campagnie des Ocres,8
Union Carbide Corp.,8
Polaroid Corporation,8
Dominion,8
Albion,8
Sigma Chemical Company,7
Via delle Spado,7
"Watts, Ltd.",7
Maimeri & Company,7
"Shiva, Inc.",7
Konica Corporation,7
Forte Photochemical Co. Ltd.,7
"Fuji Photo Film Co., Ltd.",7
Arista,7
Kentmere Photographic Ltd.,7
Chen Fu Photo Material,7
HY Pigments,7
Scheveningen,6
Ecolse,6
"Roberson & Company, Ltd.",6
H. Schminke & Co. ,6
"Asahi Oil Colours Co., Ltd. ",6
Creative Products Corporation,6
Shelton Turkey Ranch ,6
